Type,Prompt ,Completion Structure,Completion text,,Type,Prompt ,Completion Structure,Completion text
,,Question 1,માનવમાં રંગસૂત્રોની કેટલી જોડ હોય છે ?,,,,Question 101,મેન્ડલે પ્રયોગો માટે પિતૃપેઢીમાં વટાણાના બંને છોડ લક્ષણની અભિવ્યક્તિ માટે શુદ્ધ હતા.
,,A,સોળ,,,,A,ખરું 
,,B,ચોવીસ,,,,B,ખોટું 
,,C ,વીસ,,,,C ,-
,,D,ત્રેવીસ,,,,D,-
,,Answer,ત્રેવીસ,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 2,લુપ્ત થયેલી જાતિઓ ક્યારે અસ્તિત્વમાં હતી એ શેનાં દ્વારા જાણી શકાય ?,,,,Question 102,જનીન એ DNAનો ચોક્કસ ખંડ છે જે પ્રોટીનસંશ્લેષણ માટેની માહિતી ધરાવે છે.
,,A,આનુવંશિકતા,,,,A,ખરું 
,,B,પેશી,,,,B,ખોટું 
,,C ,જીવાશ્મી,,,,C ,-
,,D,કોષ,,,,D,-
,,Answer,જીવાશ્મી,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 3,શેમાં સુવિકસિત કોષકેન્દ્ર હોતું નથી ?,,,,Question 103,મનુષ્યમાં માતા અને પિતા બંને પાસેથી પુત્ર એક-એક X-રંગસૂત્ર મેળવે છે.
,,A,પરોપજીવીઓના કોષમાં,,,,A,ખરું 
,,B,બેક્ટેરિયાના કોષમાં,,,,B,ખોટું 
,,C ,વાઇરસના કોષમાં,,,,C ,-
,,D,ડુંગળીના કોષમાં,,,,D,-
,,Answer,બેક્ટેરિયાના કોષમાં,,,,Answer,ખોટું
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 4,આનુવંશિકતા નિયમો કોણે પ્રસ્તુત કર્યા હતા ?,,,,Question 104,મનુષ્યમાં ફલન થાય ત્યારે જ લિંગનિશ્ચયન નક્કી થઇ જાય છે.
,,A,મેન્ડેલ,,,,A,ખરું 
,,B,એરીસ્ટૉટલ,,,,B,ખોટું 
,,C ,આઇન્સ્ટાઇન,,,,C ,-
,,D,ચાર્લ્સ ડાર્વિન,,,,D,-
,,Answer,મેન્ડેલ,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
