Prompt ,Completion Structure,Completion text
મને ધોરણ 10નાં વિજ્ઞાન વિષયના આનુવંશિકતા અને ઉદવિકાસ પ્રકરણ પરથી ૧૦ સરળ પ્રશ્નોની ક્વિઝ બનાવી આપો.,Question 1,માનવ જાતિના સૌ પ્રથમ સભ્યોને કયાંથી શોધવામાં આવ્યા હતા?
,A,ઓસ્ટ્રેલિયા
,B,અમેરિકા
,C ,એન્ટાર્કટિકા
,D,આફ્રિકા
,Answer,આફ્રિકા
,Solution,બેઅલો નામના Homo Sapians જે માનવ જાતિના પ્રથમ પ્રકાર હતા તેમને આફ્રિકામાં શોધવામાં આવ્યા હતા. તેથી માનવ જાતિના પ્રથમ સભ્યો આફ્રિકામાંથી જ હતા.
,,
,Question 2,સ્ત્રીના રંગસૂત્રને શું કહે છે ?
,A,Z
,B,XY
,C ,X
,D,Y
,Answer,X
,Solution,સ્ત્રીઓના રંગસૂત્રમાં સ્ત્રીઓનો ખાસ પેટેર્ન X X હોય છે. એટલે કે બંને ક્રોમોઝોમ Xની જોડી હોય છે જે બંને માતાના હતા. તેથી સ્ત્રીના રંગસૂત્રને X તરીકે ઓળખાય છે.
,,
,Question 3,કીટકોમાં વ્યાપક અનુકુલન પામતું અંગ કયું છે?
,A,પાંખ અને આંખ
,B,જીભ
,C ,પગ
,D,ત્વચા
,Answer,પાંખ અને આંખ
,Solution,વિવિધ પ્રકારના કીટકોમાં માટે પાંખ અને આંખ સૌથી વ્યાપક અને અગત્યનું અનુકૂલન થતું અંગ છે. તે માટે પાંખ અને આંખ કીટકોમાં માટે અનુકૂલન પ્રાપ્ત કરવાનું વ્યાપક અંગ છે.
,,
,Question 4,જો બાળક છોકરો હશે તો તેને તેનાં પિતા તરફથી કયુ રંગસૂત્ર પ્રાપ્ત થયું હોય ?
,A,X
,B,YY
,C ,Z
,D,Y
,Answer,Y
,Solution,જો બાળક છોકરો હશે તો તેના પિતા તરફથી તેને Y ક્રોમોઝોમ મળશે. હવે છોકરાની માતા તરફથી X ક્રોમોઝોમ મળશે જેથી છોકરાની રંગસૂત્ર જોડી XY બનશે.
,,
,Question 5,માનવ ઉવિકાસના અભ્યાસનું મુખ્ય સાધન કયું છે?
,A,રંગસૂત્રો
,B,DNA અનુક્રમનું નિર્ધારણ
,C ,RNA અનુક્રમનું નિર્ધારણ
,D,RNAની સંખ્યા
,Answer,રંગસૂત્રો
,Solution,"માનવ ઉવિકાસનો અભ્યાસ કરવા માટે રંગસૂત્રો સૌથી મહત્ત્વનું સાધન છે. માનવના વર્તમાન અને વિકસીત રંગસૂત્રો માહિતી આપે છે કે શું બદલાવો થયા અને કેવી રીતે માનવ વિકસ્યા. તેથી, રંગસૂત્રો માનવ ઉવિકાસના અભ્યાસનું મુખ્ય સાધન છે."
,,
,Question 6,ડાયનાસોર કેવાં હતા?
,A,ખેચર
,B,સસ્તન
,C ,જળચર
,D,સરીસૃપ
,Answer,સરીસૃપ
,Solution,"ડાયનાસોર સરીસૃપો હતા, જે જીવદાયની એક સામાન્ય વર્ગણી છે. તેમને સામાન્યતઃ ડાયનોસોરીએ કહેવામાં આવે છે. તેમની ત્વચા પર અલગ લૂંકડો હતો. તે હંમેશા ચડતા હતા અને તેમની પાંખીઓનો ઉપયોગ અલગ અલગ પ્રજાતિઓ માટે પંખ કરવા માટે થતો."
,,
,Question 7,આમાંથી કયો સજીવ પોતાનું લિંગ બદલી શકે છે?
,A,સાપ
,B,ગોકળગાય
,C ,મનુષ્ય
,D,ખિસકોલી
,Answer,ગોકળગાય
,Solution,ગોકળગાય જીવ છે જે પોતાનું લિંગ બદલી શકે છે.
,,
,Question 8,આપણા બધાનો ઉદ્ભવ કયાંથી થયો છે ?
,A,એન્ટાર્કટિકા
,B,ઓસ્ટ્રેલિયા
,C ,આફ્રિકા
,D,અમેરિકા
,Answer,આફ્રિકા
,Solution,"માનવ જાતિનું સૌથી પુરાણ ફોસિલ આફ્રિકામાંથી મળ્યું છે. Homo sapiens (માનવ)ના સૌથી પુરાણ ફોસિલો આફ્રિકાના ઓલ્ડવા ગોર્જ વિસ્તારમાંથી મળી આવ્યા છે, જે સૂચવે છે કે આફ્રિકા જ માનવ જાતિનું જન્મસ્થાન છે. એટલે આપણા બધાનો ઉદ્ભવ આફ્રિકાથી થયો છે."
,,
,Question 9,જનીનોનાં નવા સંયોજનો શામાં સર્જાય છે ?
,A,વાનસ્પતિક પ્રજનન
,B,અલિંગી પ્રજનન
,C ,લિંગી પ્રજનન
,D,કલિકાસર્જન
,Answer,લિંગી પ્રજનન
,Solution,જનીનોના નવા સંયોજનો માતા અને પિતાના જનીનોમથી ક્રોસઓવર થાય છે. તે માટે લિંગી પ્રજનન જરૂરી છે. વાનસ્પતિક પ્રજનન અને અલિંગી પ્રજનનમાં જનીનોમનો કોઈપણ સંયોજન થતો નથી. જનીનોના નવા સંયોજનો પેરેન્ટ્સના જીન્સની કોમ્બિનેશન તરીકે લિંગી પ્રજનનમાં જ સર્જાય છે.
,,
